產業類別,公司代號,公司名稱,公司類別,公司年度資訊-員工福利費用(仟元),公司年度資訊-員工薪資費用(仟元),公司年度資訊-員工人數(人),公司年度資訊-平均員工福利費用(仟元/人),公司年度資訊-平均員工薪資費用-113年度(仟元/人),公司年度資訊-平均員工薪資費用-112年度(仟元/人),公司年度資訊-平均員工薪資費用-調整變動情形(%),公司年度資訊-每股盈餘(元/股),同產業公司-平均員工福利費用(仟元/人),同產業公司-平均員工薪資費用(仟元/人),同產業公司-平均每股盈餘(元/股)
"汽車工業","1587","吉茂","一般","143868","122501","185","778","662","578 ","14.50 %","-0.47","1040","881","5.81",
"電機機械","1597","直得","一般","273128","230135","333","820","691","606 ","14.00 %","1.08","1005","855","3.85",
"運動休閒","1598","岱宇","一般","405576","337833","637","637","530","594 ","-10.80 %","0.45","1038","894","5.72",
"電器電纜","1603","華電","一般","461282","396358","598","771","663","616 ","7.60 %","2.85","1042","905","1.33",
"電器電纜","1604","聲寶","一般","786081","655783","735","1069","892","803 ","11.10 %","2.09","1042","905","1.33",
"電器電纜","1605","華新","一般","3616100","3240633","2939","1230","1103","1090 ","1.20 %","0.69","1042","905","1.33",
"電器電纜","1608","華榮","一般","401667","334737","429","936","780","730 ","6.80 %","1.55","1042","905","1.33",
"電器電纜","1609","大亞","一般","1009433","894240","640","1577","1397","1537 ","-9.10 %","2.09","1042","905","1.33",
"電器電纜","1611","中電","一般","91580","79195","111","825","713","571 ","24.90 %","0.50","1042","905","1.33",
"電器電纜","1612","宏泰","一般","348856","307655","265","1316","1161","1090 ","6.50 %","2.38","1042","905","1.33",
"電器電纜","1614","三洋電","一般","535951","420299","1015","528","414","456 ","-9.20 %","0.83","1042","905","1.33",
"電器電纜","1615","大山","一般","266887","226694","274","974","827","695 ","19.00 %","3.96","1042","905","1.33",
"電器電纜","1616","億泰","一般","215187","184861","214","1006","864","720 ","20.00 %","2.04","1042","905","1.33",
"電器電纜","1617","榮星","一般","189820","160390","237","801","677","656 ","3.20 %","0.55","1042","905","1.33",
"電器電纜","1618","合機","一般","242140","208199","220","1101","946","831 ","13.80 %","3.71","1042","905","1.33",
"食品工業","1702","南僑","投控","219426","202083","49","4478","4124","3186 ","29.40 %","4.07","1020","869","2.98",
"生技醫療業","1707","葡萄王","一般","586857","508551","565","1039","900","910 ","-1.10 %","9.78","1094","909","3.76",
"化學工業","1708","東鹼","一般","265196","233233","185","1433","1261","772 ","63.30 %","3.91","1125","949","2.00",
"化學工業","1709","和益","一般","494207","439761","225","2196","1954","1297 ","50.70 %","1.54","1125","949","2.00",
"化學工業","1710","東聯","一般","510364","382294","383","1333","998","1005 ","-0.70 %","0.02","1125","949","2.00",
"化學工業","1711","永光","一般","1164795","969620","1343","867","722","690 ","4.60 %","0.44","1125","949","2.00",
"化學工業","1712","興農","一般","1225743","1042307","1372","893","760","763 ","-0.40 %","2.50","1125","949","2.00",
"化學工業","1713","國化","一般","179704","165937","88","2042","1886","1113 ","69.50 %","10.31","1125","949","2.00",
"化學工業","1714","和桐","一般","109504","91563","109","1005","840","912 ","-7.90 %","0.41","1125","949","2.00",
"化學工業","1717","長興","一般","2299768","1902420","1960","1173","971","942 ","3.10 %","1.56","1125","949","2.00",
"化學工業","1718","中纖","一般","492586","391454","584","843","670","642 ","4.40 %","0.02","1125","949","2.00",
"生技醫療業","1720","生達","一般","841308","710530","833","1010","853","830 ","2.80 %","4.93","1094","909","3.76",
"化學工業","1721","三晃","一般","409465","332466","477","858","697","715 ","-2.50 %","-0.98","1125","949","2.00",
"化學工業","1722","台肥","一般","988741","852370","653","1514","1305","1636 ","-20.20 %","2.01","1125","949","2.00",
"化學工業","1723","中碳","一般","600747","525311","327","1837","1606","1649 ","-2.60 %","5.20","1125","949","2.00",
